dataset,mse,mae
lottie-android,0.73,0.623
CyberChef,1.065,0.722
autocomplete,0.697,0.645
tauri,0.653,0.686
taichi,0.579,0.597
machine-learning-for-software-engineers,3.113,0.792
nocodb,46.407,3.465
zsh-autosuggestions,0.269,0.319
micro,0.728,0.562
v2ray-core,1.188,0.763
react-redux,0.467,0.487
nanoid,1.178,0.59
deno,1.05,0.843
handson-ml2,0.163,0.218
airflow,0.569,0.566
requests,0.288,0.412
Front-end-Developer-Interview-Questions,1.491,0.742
bootstrap,0.316,0.424
flow,0.914,0.595
bazel,2.118,1.124
electron,0.528,0.535
marked,0.792,0.685
manim,0.171,0.254
recharts,2.267,0.915
clean-code-javascript,2.451,0.837
professional-programming,1.199,0.774
examples,2.626,1.192
TDengine,3.066,1.438
YesPlayMusic,0.066,0.204
vscode,0.544,0.598
vite,1.878,1.052
vue-cli,0.374,0.439
jest,1.831,1.009
validator.js,1.651,0.899
shadowsocks-windows,0.051,0.128
typeorm,0.276,0.393
backstage,0.422,0.522
LeetCode-Go,0.857,0.416
linux-insides,1.009,0.641
modern-cpp-tutorial,0.175,0.318
emscripten,0.5,0.554
serverless,0.172,0.317
kong,1.768,1.038
swift-algorithm-club,0.011,0.051
servo,1.306,0.799
OpenAPI-Specification,0.505,0.526
pure,1.301,0.815
SpaceVim,0.628,0.516
mongoose,1.652,1.0
PowerShell,2.748,1.268
nushell,2.686,1.164
httpie,0.506,0.484
DeepSpeech,0.027,0.099
node,1.008,0.755
bluebird,2.771,0.742
tech-interview-handbook,94.28,4.976
shellcheck,0.515,0.488
interview,0.151,0.203
hutool,1.262,0.83
monolog,2.8,1.346
masscan,0.471,0.271
nvm,1.486,0.92
tabler,3.051,1.159
folly,0.738,0.61
